Region,State,policy,sales,profit,quantity,rows,orders,loss_rows,margin,sales_weighted_discount,loss_row_share
East,West Virginia,2 Mixed,1209.824,185.9216,18,4,2,1,0.15367656783135397,0.16696907980003703,0.25
South,Alabama,1 Never discounts,19510.64,5786.8253,256,61,34,0,0.296598435520311,0.0,0.0
South,Arkansas,1 Never discounts,11678.13,4008.6871,240,60,27,0,0.3432644695683299,0.0,0.0
South,Florida,3 Never sells at full price,89473.708,-3399.3017000000004,1379,383,200,126,-0.0379921853691366,0.31834397765207184,0.3289817232375979
South,Georgia,1 Never discounts,49095.84,16250.0433,705,184,91,0,0.33098615483511434,0.0,0.0
South,Kentucky,1 Never discounts,36591.75,11199.6966,523,139,61,0,0.30607163090040784,0.0,0.0
South,Louisiana,1 Never discounts,9217.03,2196.1023,156,42,21,0,0.2382657211704855,0.0,0.0
South,Mississippi,1 Never discounts,10771.34,3172.9762,221,53,26,0,0.29457580950930895,0.0,0.0
South,North Carolina,3 Never sells at full price,55603.164,-7490.9122,983,249,136,68,-0.13472097019514934,0.3259587206224452,0.27309236947791166
South,South Carolina,1 Never discounts,8481.71,1769.0566,172,42,20,0,0.2085731061307213,0.0,0.0
South,Tennessee,3 Never sells at full price,30661.873,-5341.6936,681,183,91,65,-0.17421289299580622,0.331728244390028,0.3551912568306011
South,Virginia,1 Never discounts,70636.72,18597.9504,893,224,115,0,0.26329011879373787,0.0,0.0
West,Arizona,3 Never sells at full price,35282.001,-3427.9246,862,224,108,85,-0.09715788512108484,0.28598895793920537,0.3794642857142857
West,California,2 Mixed,457687.6315,76381.38709999999,7667,2001,1021,105,0.16688540795754492,0.12220899665059007,0.05247376311844078
West,Colorado,3 Never sells at full price,32108.118,-6527.8579,693,182,79,66,-0.20330864300423962,0.29780171481866363,0.3626373626373626
West,Idaho,2 Mixed,4382.486,826.7231,64,21,11,0,0.18864249651909898,0.05282554239762546,0.0
West,Montana,2 Mixed,5589.352,1833.3285,56,15,8,0,0.328003765016052,0.0339184935928172,0.0
West,Nevada,2 Mixed,16729.102,3316.7659,168,39,23,1,0.19826323612588412,0.1252785953483935,0.02564102564102564
West,New Mexico,2 Mixed,4783.522,1157.1161,151,37,22,1,0.24189626388255347,0.07416928363661755,0.02702702702702703
West,Oregon,3 Never sells at full price,17431.15,-1190.4705,499,124,56,43,-0.06829558003918272,0.25308720308183913,0.3467741935483871
West,Utah,2 Mixed,11220.056,2546.5335,219,53,26,0,0.2269626372631295,0.0245064017505795,0.0
West,Washington,2 Mixed,138641.27,33402.6517,1883,506,256,17,0.24092863329944975,0.07171128769954287,0.03359683794466403
West,Wyoming,3 Never sells at full price,1603.136,100.196,4,1,1,0,0.0625,0.2,0.0
